day;month;year;Plot;Subplot;Moisture;Salinity;Salinity_mean;Sensor;Observations;;
2;14;2019;2;B3;18.9;0.148;0.148;5;;;
2;14;2019;2;B4;14.5;0.117;0.117;5;;;
2;14;2019;2;B5;10.5;0.066;0.066;5;;;
2;14;2019;2;B6;14.4;0.120;0.120;5;;;
2;14;2019;2;C1;13.1;0.096;0.096;5;;;
2;14;2019;2;C2;12.6;0.106;0.106;5;;;
2;14;2019;2;C3;13.6;0.126;0.126;5;;;
2;14;2019;2;C4;14.1;0.085;0.085;5;;;
2;14;2019;2;C5;16.7;0.093;0.093;5;;;
2;14;2019;2;C6;14.6;0.099;0.099;5;;;
2;14;2019;2;D1;14.3;0.083;0.083;5;;;
2;14;2019;2;D2;16.8;0.140;0.140;5;;;
2;14;2019;2;D3;10.2;0.074;0.074;5;;;
2;14;2019;2;D4;14.1;0.078;0.078;5;;;
2;14;2019;2;D5;13.5;0.085;0.085;5;;;
2;14;2019;2;D6;16.7;0.094;0.094;5;;;
2;14;2019;2;E1;14.7;0.086;0.086;5;;;
2;14;2019;2;E2;16.2;0.105;0.105;5;;;
2;14;2019;2;E3;14.3;0.057;0.057;5;;;
2;14;2019;2;E4;13.5;0.055;0.055;5;;;
2;14;2019;2;E5;13.8;0.105;0.105;5;;;
2;14;2019;2;E6;13.9;0.081;0.081;5;;;
2;14;2019;2;F1;15.8;0.095;0.095;5;;;
2;14;2019;2;F2;13.6;0.100;0.100;5;;;
2;14;2019;2;F3;15.7;0.084;0.084;5;;;
2;14;2019;2;F4;14.5;0.076;0.076;5;;;
2;14;2019;2;F5;13.7;0.059;0.059;5;;;
2;14;2019;2;F6;15.9;0.083;0.083;5;;;
2;14;2019;3;A1;12.7;0.095;0.095;5;;;
2;14;2019;3;A2;15.9;0.122;0.122;5;;;
2;14;2019;3;A3;11.8;0.077;0.077;5;;;
2;14;2019;3;A4;16.7;0.121;0.121;5;;;
2;14;2019;3;A5;14.8;0.103;0.103;5;;;
2;14;2019;3;A6;14.1;0.123;0.123;5;;;
2;14;2019;3;B1;14.1;0.110;0.110;5;;;
2;14;2019;3;B2;12.1;0.093;0.093;5;;;
2;14;2019;3;B3;17.1;0.122;0.122;5;;;
2;14;2019;3;B4;11.3;0.071;0.071;5;;;
2;14;2019;3;B5;12.8;0.094;0.094;5;;;
2;14;2019;3;B6;11.8;0.092;0.092;5;;;
2;14;2019;3;C1;17.3;0.106;0.106;5;;;
2;14;2019;3;C2;17.8;0.122;0.122;5;;;
2;14;2019;3;C3;16.7;0.107;0.107;5;;;
